,app,$,val
5182,LAMP Words For Life,price,299.99
2828,Proloquo2Go - Symbol-based AAC,price,249.99
4768,KNFB Reader,price,99.99
2659,NAVIGON Europe,price,74.99
4494,FineScanner Pro - PDF Document Scanner App + OCR,price,59.99
5363,Articulation Test Center Pro,price,59.99
3619,Articulation Station Pro,price,59.99
3909,VPN Pro | Lifetime Proxy & Best VPN by Betternet,price,49.99
3611,Cubasis 2 - Mobile Music Creation System,price,49.99
6805,プチ・ロワイヤル仏和辞典（第4版）・和仏辞典（第3版）,price,47.99
2389,KORG Gadget,price,39.99
3931,KORG Module,price,39.99
5067,Anatomy & Physiology: Body Structures and Function,price,34.99
2314,Astropad Standard,price,29.99
5079,KORG iWAVESTATION,price,29.99
3606,Model 15,price,29.99
3498,KORG iM1,price,29.99
4420,ARP ODYSSEi,price,29.99
2973,Extreme Landings Pro,price,29.99
2968,The Complete Adventures of Pan (Books 1-7),price,27.99
6157,美食杰-让吃饭变简单(VIP版),price,27.99
6172,teamLabBody-3D Motion Human Anatomy-,price,24.99
2241,OnSong,price,24.99
3153,Ulysses,price,24.99
2388,Human Anatomy Atlas – 3D Anatomical Model of the Human Body,price,24.99
5643,STEINS;GATE,price,24.99
6691,T Air for DVD,price,24.99
4750,Human Anatomy Atlas 2017 - Complete 3D Human Body,price,24.99
2853,AnkiMobile Flashcards,price,24.99
6050,ウィズダム英和・和英辞典 2,price,23.99
6683,プログレッシブ ロシア語辞典,price,23.99
4114,Litchi for DJI Mavic/Phantom/Inspire,price,22.99
6737,小学館 オックスフォード 英語コロケーション辞典,price,22.99
4866,大辞林,price,21.99
6711,東京時層地図 for iPad,price,20.99
2274,FINAL FANTASY Ⅸ,price,20.99
5254,SOUND Canvas,price,19.99
2965,Scrivener,price,19.99
3063,"Screens - Remote Desktop, VNC, Screen Sharing",price,19.99
5772,Addictive Pro,price,19.99
3341,"Muscle Premium - Human Anatomy, Kinesiology, Bones",price,19.99
1811,Essential Anatomy 5,price,19.99
1502,Speak & Translate － Live Voice and Text Translator,price,19.99
2992,CHAOS RINGS Ⅲ,price,19.99
4903,Football Manager Touch 2017,price,19.99
1898,Gaia GPS Classic,price,19.99
5020,KORG iDS-10,price,19.99
3163,djay Pro,price,19.99
3971,iStatVball 2 iPad Edition,price,19.99
4686,AUM - Audio Mixer,price,18.99
1806,The World Ends with You: Solo Remix,price,17.99
4945,ROMANCING SAGA 2,price,17.99
5586,MobileFamilyTree 8,price,17.99
4309,Site Audit Pro,price,16.99
2729,FINAL FANTASY III for iPad,price,16.99
2323,FINAL FANTASY VII,price,15.99
4591,"Foundations Memory Work Tutorials, Cycle 2",price,15.99
2047,FINAL FANTASY TACTICS: THE WAR OF THE LIONS for iPad,price,15.99
5402,Special Version - Explain Everything™ Whiteboard,price,15.99
2116,FINAL FANTASY V,price,14.99
1281,"Notepad+: Take Notes, Annotate and Write on PDF",price,14.99
1468,FINAL FANTASY IV,price,14.99
7038,パチスロ黄門ちゃま 喝,price,14.99
2290,FiLMiC Pro,price,14.99
1972,MONSTER HUNTER FREEDOM UNITE for iOS,price,14.99
6520,パチスロ バイオハザード6,price,14.99
5012,Heroes of Normandie,price,14.99
4434,SkySafari 5 Plus,price,14.99
2368,Voice Dream Reader,price,14.99
2349,FINAL FANTASY III,price,14.99
5400,A high resolution music player - NePLAYER,price,14.99
1868,This War of Mine,price,14.99
6687,戦国乙女〜剣戟に舞う白き剣聖〜,price,14.99
2658,Notion,price,14.99
2685,OfficeSuite Pro (Mobile Office),price,14.99
6004,Note Always - a notebook designed for Apple Pencil,price,14.99
1749,FINAL FANTASY VI,price,14.99
6739,スーパーブラックジャック2,price,14.99
6663,パチスロ モンスターハンター 月下雷鳴,price,14.99
6673,スーパーストリートファイターIV パチスロエディション,price,14.99
5740,myHome - Home Automation,price,13.99
1382,FINAL FANTASY TACTICS: THE WAR OF THE LIONS,price,13.99
4257,Adventures of Mana,price,13.99
2777,FL Studio Mobile,price,13.99
3010,Pocket Anatomy - Interactive 3D Human Anatomy and Physiology.,price,13.99
3152,Voice Translator with Offline Dictionary Pro,price,13.99
6578,ATOK -日本語入力キーボード,price,12.99
7105,ネイティブ1000人と作った英会話～日常英会話編～,price,12.99
6385,シンデレラブレイド2,price,12.99
6362,真モグモグ風林火山2,price,12.99
2343,iReal Pro - Music Book & Play Along,price,12.99
6285,シロクマ先生のゆるくない英文法,price,11.99
6527,戦国乙女〜剣戟に舞う白き剣聖〜西国参戦編,price,11.99
2836,iDoceo - teacher's assistant gradebook and planner,price,11.99
6761,パチスロ デビル メイ クライ クロス,price,11.99
3633,iThoughts (mindmap),price,11.99
5608,Touch Notation,price,11.99
1287,Notes Plus,price,9.99
3394,Lucky Cactus,price,9.99
2802,Heroes® of Might & Magic® III – HD Edition,price,9.99
3714,Ember,price,9.99
3408,Baldur's Gate II:EE,price,9.99
2186,Jesus Calling Devotional by Sarah Young,price,9.99
4291,Translator !!,price,9.99
5472,AnatomyMapp,price,9.99
5207,Call Recorder for iPhone - Record Phone Calls,price,9.99
7053,激Jパチスロ 2027,price,9.99
2143,AudioNote - Notepad and Voice Recorder,price,9.99
798,"PDF Expert 6: Read, annotate & edit PDF documents",price,9.99
3451,"iAnnotate 4 - read, markup and share PDFs and more",price,9.99
6883,GeniusMovieWords,price,9.99
1179,Noteshelf,price,9.99
1020,Home Design 3D GOLD,price,9.99
3121,OBD Fusion - OBD2 vehicle scan tool & diagnostics,price,9.99
2680,Fantastical 2 for iPad - Calendar and Reminders,price,9.99
6291,麻雀物語３ 役満乱舞の究極大戦,price,9.99
3410,ROME: Total War,price,9.99
272,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,price,9.99
1783,XCOM®: Enemy Within,price,9.99
4246,Galileo Organ,price,9.99
1292,Duet Display,price,9.99
1757,TapeACall Pro - Call Recorder For Phone Calls,price,9.99
4807,Hero Siege: Pocket Edition,price,9.99
4531,Delicious - Emily's Tea Garden,price,9.99
2700,King of Dragon Pass,price,9.99
5680,FreeSpeech - Build Language and Learn Grammar,price,9.99
4181,Battlefleet Gothic: Leviathan,price,9.99
3484,Boating USA,price,9.99
5683,USPS StampApp for iPad,price,9.99
2307,Baldur's Gate: Enhanced Edition,price,9.99
2208,Implosion - Never Lose Hope,price,9.99
3783,HARVEST MOON: Seeds Of Memories,price,9.99
5631,A.BIG.T -- A Smart VPN,price,9.99
2401,Banner Saga,price,9.99
1222,"PDF Reader Pro Edition - Annotate,edit & sign PDFs",price,9.99
3958,Refills Calendar - Scheduler - Note,price,9.99
2392,MindNode – Delightful Mind Mapping,price,9.99
1576,forScore,price,9.99
2506,PCalc - The Best Calculator,price,9.99
1132,"Chess Pro with Coach - Learn,Play & Online Friends",price,9.99
3081,PDF Markup Ultimate - Annotate PDFs and Web Pages,price,9.99
2503,Geometry Wars 3: Dimensions Evolved,price,9.99
1363,Civilization Revolution 2,price,9.99
6113,Nebraska Huskers for iPad 2015,price,9.99
737,Notability,price,9.99
3682,Atlantic Fleet,price,9.99
3911,Jade Empire™: Special Edition,price,9.99
6747,パチスロ ガールズ＆パンツァー,price,9.99
4027,Icewind Dale: Enhanced Edition,price,9.99
4080,Twilight Struggle,price,9.99
6787,動画英文法2700,price,9.99
956,iAnnotate PDF,price,9.99
1961,Tweetbot 4 for Twitter,price,9.99
1587,FTL: Faster Than Light,price,9.99
4076,PhotoPills,price,9.99
4069,Banner Saga 2,price,9.99
973,Carcassonne,price,9.99
3665,SteamWorld Heist,price,9.99
3262,Neon Chrome,price,9.99
3052,"Instant Fitness : 600+ exercises, 100+ workouts, home, exercise workout trainer, 7 minute workout, on-the-go personal mobile fitness trainer by Fitness Buddy and Instant Heart Rate",price,9.99
6351,GENIUS Movie Idioms1000,price,9.99
1087,Star Wars®: Knights of the Old Republic™,price,9.99
3897,Bluebeam Revu,price,9.99
3583,Patterning : Drum Machine,price,9.99
4375,Flight Unlimited 2K16 - Flight Simulator,price,9.99
983,Chess Pro - with coach,price,9.99
3083,DEATHSMILES,price,9.99
1413,Awesome Calendar - Personal Planner,price,9.99
4552,Textastic Code Editor 6,price,9.99
