Tree,Latitude,Longitude,Year
white oak,39.289673,-123.373718,2009
white oak,39.289673,-123.373718,2009
white oak,39.289673,-123.373718,2010
California live oak,34.0312,-118.811821,2011
California live oak,34.0312,-118.811821,2011
California live oak,34.0312,-118.811821,2011
valley oak,34.156467,-118.73069,2011
California live oak,37.788403,-122.482101,2012
California live oak,37.788403,-122.482101,2012
California live oak,37.788403,-122.482101,2012
California live oak,37.78825,-122.482285,2012
California live oak,37.78825,-122.482285,2012
California live oak,37.78825,-122.482285,2012
California live oak,37.78825,-122.482285,2012
California live oak,37.78825,-122.482285,2012
California live oak,37.78825,-122.482285,2012
California live oak,37.78825,-122.482285,2012
California live oak,37.78825,-122.482285,2012
California live oak,37.788433,-122.470154,2012
California live oak,37.788433,-122.470154,2012
California live oak,37.788433,-122.470154,2012
California live oak,37.788433,-122.470154,2012
California live oak,37.788433,-122.470154,2012
California live oak,37.788433,-122.470154,2012
California live oak,37.788433,-122.470154,2012
California live oak,34.145714,-118.960732,2012
California live oak,34.145714,-118.960732,2012
California live oak,34.145714,-118.960732,2012
California live oak,34.145714,-118.960732,2012
California live oak,34.145714,-118.960732,2012
California live oak,34.145714,-118.960732,2012
California live oak,34.145714,-118.960732,2012
California live oak,34.0312,-118.811821,2012
California live oak,34.0312,-118.811821,2012
California live oak,34.0312,-118.811821,2012
California live oak,34.0312,-118.811821,2012
California live oak,34.0312,-118.811821,2012
California live oak,34.0312,-118.811821,2012
California live oak,34.0312,-118.811821,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.115868,-118.758972,2012
California live oak,34.115868,-118.758972,2012
California live oak,34.115868,-118.758972,2012
California live oak,34.115868,-118.758972,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
California live oak,34.118164,-118.759033,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.119007,-118.760071,2012
valley oak,34.118332,-118.758636,2012
valley oak,34.118332,-118.758636,2012
valley oak,34.118332,-118.758636,2012
valley oak,34.118332,-118.758636,2012
valley oak,34.118332,-118.758636,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
California live oak,34.156467,-118.73069,2012
California live oak,34.156467,-118.73069,2012
California live oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.156467,-118.73069,2012
valley oak,34.159077,-118.726082,2012
valley oak,34.159077,-118.726082,2012
valley oak,34.159077,-118.726082,2012
California live oak,34.159077,-118.726082,2012
California live oak,34.159077,-118.726082,2012
California live oak,34.159077,-118.726082,2012
valley oak,34.159077,-118.726082,2012
valley oak,34.159077,-118.726082,2012
valley oak,34.159077,-118.726082,2012
California live oak,34.159077,-118.726082,2012
California live oak,34.159077,-118.726082,2012
California live oak,34.159077,-118.726082,2012
valley oak,34.159077,-118.726082,2012
valley oak,34.159077,-118.726082,2012
valley oak,34.159077,-118.726082,2012
valley oak,34.160709,-118.726067,2012
valley oak,34.160709,-118.726067,2012
valley oak,34.160709,-118.726067,2012
valley oak,34.160259,-118.723999,2012
valley oak,34.160259,-118.723999,2012
valley oak,34.160259,-118.723999,2012
valley oak,34.16449,-118.723801,2012
valley oak,34.16449,-118.723801,2012
valley oak,34.16449,-118.723801,2012
valley oak,34.166229,-118.723579,2012
valley oak,34.166229,-118.723579,2012
valley oak,34.166229,-118.723579,2012
California live oak,34.173267,-118.724113,2012
California live oak,34.173267,-118.724113,2012
California live oak,34.173267,-118.724113,2012
California live oak,34.173267,-118.724113,2012
California live oak,34.173267,-118.724113,2012
California live oak,34.173267,-118.724113,2012
valley oak,34.173702,-118.724167,2012
valley oak,34.173702,-118.724167,2012
valley oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
California live oak,34.173702,-118.724167,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.491329,-118.824944,2012
blue oak,36.49078,-118.825615,2012
blue oak,36.49078,-118.825615,2012
blue oak,36.49078,-118.825615,2012
blue oak,36.49078,-118.825615,2012
blue oak,36.49078,-118.825615,2012
blue oak,36.49078,-118.825615,2012
blue oak,36.491302,-118.826218,2012
blue oak,36.491302,-118.826218,2012
blue oak,36.491302,-118.826218,2012
blue oak,36.491302,-118.826218,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
California live oak,34.149364,-118.960472,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
California live oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
valley oak,34.11578,-118.757507,2012
California live oak,37.988838,-122.129555,2012
blue oak,37.988838,-122.129555,2012
blue oak,37.988838,-122.129555,2012
California live oak,34.445488,-119.255875,2012
California live oak,34.445488,-119.255875,2012
California live oak,34.445488,-119.255875,2012
California live oak,34.185997,-118.886124,2012
California live oak,34.185997,-118.886124,2012
California live oak,34.185997,-118.886124,2012
California live oak,34.185997,-118.886124,2012
California live oak,34.185997,-118.886124,2012
California live oak,34.185997,-118.886124,2012
California live oak,37.930042,-122.735527,2012
California live oak,37.930042,-122.735527,2012
California live oak,37.930042,-122.735527,2012
California live oak,37.930042,-122.735527,2012
California black oak,34.231152,-117.662506,2012
valley oak,36.345131,-119.260979,2012
valley oak,36.345131,-119.260979,2012
valley oak,36.345131,-119.260979,2012
California live oak,37.801132,-122.470894,2012
California live oak,37.801132,-122.470894,2012
valley oak,34.675453,-120.040688,2012
valley oak,34.675453,-120.040688,2012
valley oak,34.147045,-118.62973,2012
California live oak,34.0312,-118.811821,2013
California live oak,34.0312,-118.811821,2013
California live oak,34.0312,-118.811821,2013
California live oak,34.0312,-118.811821,2013
California live oak,34.0312,-118.811821,2013
California live oak,34.0312,-118.811821,2013
California live oak,34.0312,-118.811821,2013
California live oak,34.11578,-118.757507,2013
California live oak,34.11578,-118.757507,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.119007,-118.760071,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
California live oak,34.156467,-118.73069,2013
California live oak,34.156467,-118.73069,2013
California live oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.156467,-118.73069,2013
valley oak,34.159077,-118.726082,2013
valley oak,34.159077,-118.726082,2013
valley oak,34.159077,-118.726082,2013
California live oak,34.159077,-118.726082,2013
California live oak,34.159077,-118.726082,2013
California live oak,34.159077,-118.726082,2013
valley oak,34.159077,-118.726082,2013
valley oak,34.159077,-118.726082,2013
valley oak,34.159077,-118.726082,2013
valley oak,34.159077,-118.726082,2013
valley oak,34.159077,-118.726082,2013
valley oak,34.159077,-118.726082,2013
valley oak,34.160709,-118.726067,2013
valley oak,34.160709,-118.726067,2013
valley oak,34.160709,-118.726067,2013
valley oak,34.160259,-118.723999,2013
valley oak,34.160259,-118.723999,2013
valley oak,34.160259,-118.723999,2013
valley oak,34.16449,-118.723801,2013
valley oak,34.16449,-118.723801,2013
valley oak,34.16449,-118.723801,2013
valley oak,34.16449,-118.723801,2013
